samples/areeb_hum1.wav
CHUNK,MAX FREQ,AVG,STDEV
0,215.33203125,0.6603191167890416,3.9123405732248786
22,215.33203125,0.5735521729222086,3.3450451316120793
44,215.33203125,0.857813342632015,4.532416551333085
66,215.33203125,0.6051795482041545,3.5351203209394684
88,215.33203125,0.6223027956521078,3.573854139703665
110,215.33203125,0.9438335074485471,4.893170033203409
132,215.33203125,1.2113998668135892,5.142237976911815
154,215.33203125,0.7499299472341154,4.228860103686977
176,215.33203125,0.8860860295365598,3.7756548419215608
198,215.33203125,0.4362170294060468,2.413340122912864
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
1,0.7546633356638386,0.7614790327466177
---,---,---
samples/areeb_hum2.wav
CHUNK,MAX FREQ,AVG,STDEV
0,258.3984375,1.8297604798806484,10.25756822523753
22,258.3984375,2.255812604750309,11.954221919534744
44,301.46484375,1.6474689549363275,9.247422438594059
66,301.46484375,1.4405921000788835,8.433894974780507
88,258.3984375,1.110496906810983,7.268073467363649
110,301.46484375,1.2560533575765307,6.526363928689664
132,301.46484375,1.2264138647199037,6.021676622285646
154,258.3984375,0.9396910279469611,4.934739345559103
176,301.46484375,1.174875838637393,5.6709040865691245
198,258.3984375,1.0459032426846429,4.723391280022473
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
2,1.3927068378022582,2.284571760054062
---,---,---
samples/areeb_hum3.wav
CHUNK,MAX FREQ,AVG,STDEV
0,344.53125,3.0540756932213786,13.94678087146859
22,301.46484375,2.7960731304715516,15.188098533912184
44,344.53125,2.6196596824082445,12.209052601646187
66,344.53125,2.3881748904098483,10.979879157825202
88,301.46484375,2.5966560363619346,9.768479024565135
110,344.53125,2.229815855602115,10.331183069947487
132,344.53125,1.8842727137314208,8.250399692100931
154,301.46484375,1.9101988632302653,8.689211588809924
176,344.53125,2.193268889763739,8.87948073186109
198,344.53125,1.840646660220805,8.255976180162072
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
2,2.35128424154213,2.30976518944366
---,---,---
samples/areeb_talk1.wav
CHUNK,MAX FREQ,AVG,STDEV
0,301.46484375,8.781854406208861,38.332104960381145
22,258.3984375,8.593784652505475,46.16101037772801
44,258.3984375,3.3663289544546533,19.564211850160838
66,387.59765625,7.183719100527245,39.18462818009056
88,258.3984375,5.224012206043099,29.1372306344863
110,215.33203125,1.6862685213521256,10.179269834900854
132,344.53125,5.209689640591376,24.4395514414954
154,215.33203125,2.4049378220704973,11.194037316447556
176,387.59765625,5.184472045208467,22.651896869116225
198,215.33203125,1.1596347896234314,7.83970777950673
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
5,4.879470213858523,12.584872744406502
---,---,---
samples/ali_hum1_215.wav
CHUNK,MAX FREQ,AVG,STDEV
0,215.33203125,1.3039372376395804,7.016080276188851
22,215.33203125,1.5405290223013917,9.284872215683949
44,215.33203125,1.4311455404706468,8.89948213492853
66,215.33203125,1.3162253104331636,8.07213392925641
88,215.33203125,1.4217043103656595,6.965700231255717
110,215.33203125,1.6889486721722902,10.650508884555022
132,215.33203125,1.481640283072065,8.999800620783994
154,215.33203125,1.651157876429178,9.96412391692072
176,215.33203125,1.555968779257564,9.058687205153841
198,215.33203125,1.2892137902428642,8.347860980417536
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
1,1.4680470822384404,1.1116554178129667
---,---,---
samples/ali_hum2_260.wav
CHUNK,MAX FREQ,AVG,STDEV
0,215.33203125,1.162359657267439,6.070661236024538
22,344.53125,1.0997365510441321,6.981299512541407
44,258.3984375,1.3370414982235503,5.437382886464871
66,344.53125,1.0882699629846726,6.925021338270643
88,344.53125,0.84670416627067,5.410739855692343
110,215.33203125,1.1156822404404432,6.148614841613085
132,258.3984375,1.2237848310963289,7.564430105448025
154,215.33203125,1.096850775287992,5.573387597099569
176,344.53125,0.7891837416506611,5.346764130845213
198,215.33203125,0.9959679928122989,6.309608968431694
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
3,1.0755581417078188,0.7313632402901707
---,---,---
samples/ali_hum3_344.wav
CHUNK,MAX FREQ,AVG,STDEV
0,344.53125,2.4871129923787603,18.54176411310742
22,344.53125,2.3344581321797975,19.101401691817287
44,344.53125,2.6559594744309387,25.080963303440804
66,344.53125,2.748164337780915,26.49750752525058
88,344.53125,2.8387340330226536,23.8026499280144
110,344.53125,2.118944490890798,23.552052751310608
132,344.53125,2.8965732198266343,26.038387104884485
154,344.53125,2.8624364900481662,25.03985186474794
176,344.53125,2.7041336279873835,26.635101741421185
198,344.53125,2.836353710885928,30.76583310670967
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
1,2.648287050943197,3.4181132964909002
---,---,---
samples/ali_talk1.wav
CHUNK,MAX FREQ,AVG,STDEV
0,387.59765625,1.6740823503892492,9.561899261040557
22,344.53125,3.4149208077650357,20.290801711785583
44,602.9296875,0.9303417374847421,1.6690022766891106
66,473.73046875,5.8288528393067125,34.50861146427913
88,559.86328125,6.856204046872755,36.106700920988516
110,215.33203125,1.5660489748969177,9.945957045245509
132,516.796875,0.6573818196632102,1.2890573230044673
154,344.53125,2.729996476347961,14.393421541446743
176,602.9296875,1.0494653889225354,2.6385505265829523
198,775.1953125,0.4230193064055029,0.8501484276184795
MAX_FREQ_SIZE,GLOBAL_AVG,GLOBAL_STD
8,2.513031374805462,12.621981023952172
---,---,---
samples/conversation.wav
CHUNK,MAX FREQ,AVG,STDEV
0,301.46484375,1.2999870096424457,2.855115228967223
